Date,Symbol,Close
1/4/2021 16:00,SOFI,12.2
1/5/2021 16:00,SOFI,12.15
1/6/2021 16:00,SOFI,12.12
1/7/2021 16:00,SOFI,19.14
1/8/2021 16:00,SOFI,18.74
1/11/2021 16:00,SOFI,18.99
1/12/2021 16:00,SOFI,18.45
1/13/2021 16:00,SOFI,19.11
1/14/2021 16:00,SOFI,19.16
1/15/2021 16:00,SOFI,20.16
1/19/2021 16:00,SOFI,22.59
1/20/2021 16:00,SOFI,22.37
1/21/2021 16:00,SOFI,22.39
1/22/2021 16:00,SOFI,21.65
1/25/2021 16:00,SOFI,20.48
1/26/2021 16:00,SOFI,19.57
1/27/2021 16:00,SOFI,18.18
1/28/2021 16:00,SOFI,20.28
1/29/2021 16:00,SOFI,25.14
2/1/2021 16:00,SOFI,25.78
2/2/2021 16:00,SOFI,24.33
2/3/2021 16:00,SOFI,24.95
2/4/2021 16:00,SOFI,25.06
2/5/2021 16:00,SOFI,23.1
2/8/2021 16:00,SOFI,23
2/9/2021 16:00,SOFI,23.12
2/10/2021 16:00,SOFI,22.99
2/11/2021 16:00,SOFI,23.07
2/12/2021 16:00,SOFI,23.9
2/16/2021 16:00,SOFI,24.3
2/17/2021 16:00,SOFI,23.88
2/18/2021 16:00,SOFI,23.23
2/19/2021 16:00,SOFI,22.69
2/22/2021 16:00,SOFI,21.29
2/23/2021 16:00,SOFI,20.12
2/24/2021 16:00,SOFI,19.41
2/25/2021 16:00,SOFI,18.72
2/26/2021 16:00,SOFI,18.43
3/1/2021 16:00,SOFI,19.34
3/2/2021 16:00,SOFI,18.77
3/3/2021 16:00,SOFI,17.22
3/4/2021 16:00,SOFI,16.06
3/5/2021 16:00,SOFI,17.72
3/8/2021 16:00,SOFI,16.11
3/9/2021 16:00,SOFI,17.48
3/10/2021 16:00,SOFI,19.06
3/11/2021 16:00,SOFI,19.36
3/12/2021 16:00,SOFI,19.02
3/15/2021 16:00,SOFI,19.48
3/16/2021 16:00,SOFI,18.45
3/17/2021 16:00,SOFI,19.15
3/18/2021 16:00,SOFI,18.14
3/19/2021 16:00,SOFI,18.25
3/22/2021 16:00,SOFI,18.27
3/23/2021 16:00,SOFI,17.9
3/24/2021 16:00,SOFI,16.48
3/25/2021 16:00,SOFI,16.63
3/26/2021 16:00,SOFI,17.1
3/29/2021 16:00,SOFI,16.44
3/30/2021 16:00,SOFI,16.5
3/31/2021 16:00,SOFI,17.15
4/1/2021 16:00,SOFI,17.27
4/5/2021 16:00,SOFI,16.72
4/6/2021 16:00,SOFI,17.26
4/7/2021 16:00,SOFI,17.2
4/8/2021 16:00,SOFI,18.14
4/9/2021 16:00,SOFI,17.77
4/12/2021 16:00,SOFI,17
4/13/2021 16:00,SOFI,16.83
4/14/2021 16:00,SOFI,16.68
4/15/2021 16:00,SOFI,16.28
4/16/2021 16:00,SOFI,16.32
4/19/2021 16:00,SOFI,15.39
4/20/2021 16:00,SOFI,14.87
4/21/2021 16:00,SOFI,15.21
4/22/2021 16:00,SOFI,15.84
4/23/2021 16:00,SOFI,16.17
4/26/2021 16:00,SOFI,16.68
4/27/2021 16:00,SOFI,17.4
4/28/2021 16:00,SOFI,17.55
4/29/2021 16:00,SOFI,17.43
4/30/2021 16:00,SOFI,17
5/3/2021 16:00,SOFI,16.37
5/4/2021 16:00,SOFI,16.17
5/5/2021 16:00,SOFI,15.54
5/6/2021 16:00,SOFI,15
5/7/2021 16:00,SOFI,16.51
5/10/2021 16:00,SOFI,16.37
5/11/2021 16:00,SOFI,15.17
5/12/2021 16:00,SOFI,15.05
5/13/2021 16:00,SOFI,14.61
5/14/2021 16:00,SOFI,14.94
5/17/2021 16:00,SOFI,15.48
5/18/2021 16:00,SOFI,16.8
5/19/2021 16:00,SOFI,17.43
5/20/2021 16:00,SOFI,18.4
5/21/2021 16:00,SOFI,18.78
5/24/2021 16:00,SOFI,19.78
5/25/2021 16:00,SOFI,20.18
5/26/2021 16:00,SOFI,19.9
5/27/2021 16:00,SOFI,19.79
5/28/2021 16:00,SOFI,20.15
6/1/2021 16:00,SOFI,22.65
6/2/2021 16:00,SOFI,23.21
6/3/2021 16:00,SOFI,22.68
6/4/2021 16:00,SOFI,20.82
6/7/2021 16:00,SOFI,21.21
6/8/2021 16:00,SOFI,23.89
6/9/2021 16:00,SOFI,22.71
6/10/2021 16:00,SOFI,23.02
6/11/2021 16:00,SOFI,22.4
6/14/2021 16:00,SOFI,21.82
6/15/2021 16:00,SOFI,20.8
6/16/2021 16:00,SOFI,21.83
6/17/2021 16:00,SOFI,22.7
6/18/2021 16:00,SOFI,23.04
6/21/2021 16:00,SOFI,22.51
6/22/2021 16:00,SOFI,21.2
6/23/2021 16:00,SOFI,21.4
6/24/2021 16:00,SOFI,20.87
6/25/2021 16:00,SOFI,18.5
